!DESC: USAP List

157.132.65.161 mcm-073scicargowrhse-s1 ssh
157.132.175.210 den-idf1-s2 ssh
157.132.65.215 mcm-349mogas-s1 ssh
157.132.250.141 den-chs-r1 ssh
192.124.160.19 chc-b46-s1 ssh
157.132.65.140 mcm-165macweather-s2 ssh
157.132.65.195 mcm-196power-s1 ssh
157.132.6.5 spo-nppdmz-s2 ssh
157.132.7.6 spo-rfedge-r3 ssh
204.238.237.2 puq-auth-s1 ssh
157.132.6.4 spo-esb120dmz-s1 ssh
199.190.181.114 chc-edge-r1 ssh
157.132.97.58 mcm-bilan-r1 ssh
157.132.7.5 spo-rfiridium-dgw1 ssh
157.132.224.14 pal-vhf-s1 ssh
192.124.160.13 chc-travel-s1 ssh
157.132.224.10 pal-fmc-s1 ssh
157.132.47.5 spo-aro-s2 ssh
157.132.173.250 pth-475-nrb1 ssh
192.124.160.11 chc-admin-s1 ssh
157.132.224.7 pal-gwr-s1 ssh
157.132.224.12 pal-terra-s1 ssh
157.132.248.65 den-rspan-s1 ssh
157.132.96.20 mcm-bilan-s1 ssh
157.132.65.145 mcm-001p2nw-s1 ssh
157.132.65.217 mcm-189vmsan-s1 ssh
157.132.226.3 pal-rfcore-s2 ssh
157.132.95.34 mcm-096ldb-s1 ssh
157.132.65.146 mcm-001p2nw-s2 ssh
157.132.95.28 mcm-094ldb-s1 ssh
157.132.41.4 spo-npp-s1 ssh
157.132.28.7 spo-esb120rspan-s1 ssh
157.132.65.220 mcm-189rspan-s1 ssh
157.132.65.155 mcm-004ssc-s1 ssh
157.132.19.1 spo-mapo-s1 ssh
157.132.65.136 mcm-175-s1 ssh
157.132.224.11 pal-boat-s1 ssh
157.132.65.250 mcm-189LRE-s1 ssh
157.132.250.182 mcm-189edge-r1 ssh
157.132.173.2 pth-471noc-s1 ssh
157.132.173.4 pth-471ops-s1 ssh
157.132.248.68 den-sf-s1 ssh
157.132.65.149 mcm-001p1rm157-s1 ssh
157.132.105.138 mcm-001p2-238-s1 ssh
157.132.225.17 pal-rf-s1 ssh
157.132.65.189 mcm-170hazwaste-s1 ssh
157.132.65.148 mcm-001p3aqua-s1 ssh
157.132.8.170 spo-dsh-s1 ssh
157.132.65.153 mcm-065craterhill-s1 ssh
157.132.8.138 spo-dsl-s1 ssh
157.132.216.1 chs-3440-s1 ssh
157.132.46.5 spo-dsl-s2 ssh
157.132.65.211 mcm-189noc-s2 ssh
157.132.250.197 den-spo-r2 ssh
157.132.65.152 mcm-017fleetops-s1 ssh
157.132.65.134 mcm-165sfaang-s1 ssh
157.132.65.160 mcm-188mmi-s1 ssh
157.132.39.5 spo-cargo-s1 ssh
157.132.65.187 mcm-166hotelcal-s1 ssh
157.132.9.26 spo-cryo-s1 ssh
157.132.65.138 mcm-001p2-s1 ssh
157.132.65.188 mcm-167chalet-s1 ssh
157.132.250.170 pal-rfedge-r1 ssh
157.132.248.24 den-pal-r1 ssh
157.132.65.240 mcm-155afrts-s2 ssh
157.132.248.3 den-inet-s1 ssh
157.132.65.198 mcm-155trngkiosk-s2 ssh
157.132.250.242 den-iridium-dgw2 ssh
157.132.65.214 mcm-800superdarn-s1 ssh
157.132.248.4 den-inet-s2 ssh
157.132.175.250 den-idf3-s1 ssh
157.132.250.146 den-mcm-r1 ssh
157.132.65.172 mcm-142medical-s1 ssh
157.132.248.1 den-inet-r2 ssh
157.132.97.17 mcm-189edge-r2 ssh
157.132.248.27 den-iridium-dgw1 ssh
204.238.237.3 puq-auth-s2 ssh
157.132.250.113 den-arl-r1 ssh
157.132.250.233 chs-3440-r1 ssh
157.132.8.74 spo-esb120-s1 ssh
198.102.91.5 den-ran-s2 ssh
157.132.10.65 spo-rfedge-s1 ssh
157.132.65.190 mcm-189nasa-s1 ssh
157.132.37.6 spo-spmgt-s1 ssh
157.132.18.65 spo-rf-s1 ssh
157.132.28.14 spo-rfiridium-vgw1 ssh
157.132.41.5 spo-vault8-s1 ssh
157.132.9.10 spo-spreso-s1 ssh
157.132.65.201 mcm-198power-s1 ssh
157.132.65.154 mcm-066craterhill-s1 ssh
157.132.105.32 mcm-001p2mobile-s3 ssh
157.132.65.193 mcm-192EHS-s1 ssh
157.132.65.141 mcm-197arrival-s1 ssh
157.132.65.194 mcm-193scicargo-s1 ssh
157.132.65.191 mcm-189noc-s1 ssh
157.132.65.202 mcm-071RadarSat-s1 ssh
157.132.65.200 mcm-198water-s1 ssh
157.132.65.192 mcm-191carpshop-s1 ssh
157.132.65.133 mcm-182telco-s1 ssh
157.132.65.139 mcm-165macweather-s1 ssh
192.124.160.9 chc-b52-s1 ssh
157.132.65.185 mcm-159CTBT-s1 ssh
157.132.65.186 mcm-160BFC-s1 ssh
157.132.65.183 mcm-159Comms-s1 ssh
157.132.65.182 mcm-156ANGSupply-s1 ssh
157.132.173.6 pth-471noc-s2 ssh
157.132.65.181 mcm-155trngkiosk-s1 ssh
199.190.181.129 chc-int-r1 ssh
157.132.8.218 spo-materials-s1 ssh
157.132.65.129 mcm-210dorm-s1 ssh
157.132.65.180 mcm-155REC-s2 ssh
157.132.65.227 mcm-202dorm-s1 ssh
192.124.160.155 chc-acy-s1 ssh
157.132.7.99 spo-aro-s1 ssh
157.132.126.3 mcm-182telcomcs-s1 ssh
192.124.160.153 chc-cdcapt-s1 ssh
157.132.65.197 mcm-143VMF-s2 ssh
157.132.126.2 mcm-bimcs-r1 ssh
192.124.160.154 chc-admin-s2 ssh
157.132.95.1 mcm-093ldb-s1 ssh
157.132.95.37 mcm-ldbfoffice-s1 ssh
157.132.96.21 mcm-bilan-s2 ssh
157.132.42.4 spo-icicl-s3 ssh
157.132.98.1 mcm-mrsfhut11dist-s1 ssh
157.132.95.25 mcm-093ldb-s2 ssh
157.132.98.50 mcm-mrsfhut12-s1 ssh
157.132.173.249 pth-471-wrb1 ssh
157.132.65.2 mcm-189dist-s1 ssh
157.132.65.151 mcm-159comms-s2 ssh
157.132.65.248 mcm-165macops-s1 ssh
157.132.248.17 den-spo-r3 ssh
157.132.248.2 den-inet-r1 ssh
157.132.250.138 pth-471edge-r1 ssh
157.132.4.10 spo-altiemeadows-s1 ssh
157.132.97.44 mcm-RAN ssh
157.132.98.57 mcm-mrsfhut21-sw1 ssh
157.132.248.67 den-san-s1 ssh
157.132.65.144 mcm-001p1labs-s2 ssh
157.132.191.182 den-voip-vg1 ssh
157.132.98.56 mcm-mrsfhut33a-s1 ssh
157.132.123.30 mcm-VoiceGateway ssh
157.132.65.162 mcm-107southern-s1 ssh
157.132.37.8 spo-sptr-s1 ssh
157.132.65.203 mcm-071RadarSat-s2 ssh
157.132.65.164 mcm-120itwrhse-s1 ssh
157.132.65.163 mcm-108gallaghers-s1 ssh
157.132.164.76 den-testrouter ssh
157.132.98.37 mcm-mrsfhut22-nrb1 ssh
157.132.65.128 mcm-175-s2 ssh
157.132.216.4 chs-3440mcs-r1 ssh
199.190.181.34 chc-dscs-s1 ssh
157.132.65.123 mcm-189core-s1 ssh
157.132.99.245 mcm-189edge-s1 ssh
157.132.98.100 mcm-mrsfatc70-nrb1 ssh
157.132.97.17 mcm-189edge-r2 ssh
157.132.65.124 mcm-165core-s1 ssh
157.132.98.25 mcm-mrsfhut19-nrb1 ssh
157.132.98.53 mcm-mrsfhut23-nrb1 ssh
157.132.98.49 mcm-mrsfhut12-nrb1 ssh
157.132.98.59 mcm-mrsfhut18-nrb1 ssh
157.132.248.42 arl-core-s1 ssh
157.132.98.21 mcm-mrsfhut11-wrb1 ssh
157.132.95.39 mcm-092ldb-s1 ssh
157.132.250.126 arl-edge-r1 ssh
157.132.65.205 mcm-136btrailer-s1 ssh
157.132.65.204 mcm-136atrailer-s1 ssh
157.132.65.3 mcm-165dist-s1 ssh
157.132.65.213 mcm-221tsite-s1 ssh
157.132.248.112 den-sf-s3 ssh
157.132.248.113 den-sf-s4 ssh
157.132.173.244 pth-471-wap4 ssh
157.132.248.64 den-mcm-s1 ssh
157.132.28.4 spo-esb120san-02 ssh
157.132.185.100 den-dtltest-r1 ssh
157.132.65.209 mcm-199wwtp-s1 ssh
157.132.250.54 wsc-wsgt-r1 ssh
192.124.160.17 chc-noc-s1 ssh
157.132.125.163 mcm-mls03-s3 ssh
157.132.65.196 mcm-203dorm-s1 ssh
157.132.65.206 mcm-136ctrailer-s1 ssh
157.132.98.35 mcm-mrsfhut20-nrb1 ssh
157.132.98.38 mcm-mrsfhut22-s1 ssh
157.132.98.40 mcm-mrsfhut24-s1 ssh
157.132.65.208 mcm-191ctrailer-s1 ssh
157.132.98.28 mcm-mrsfmoc-s1 ssh
157.132.65.207 mcm-191btrailer-s1 ssh
157.132.98.42 mcm-mrsfhut25-s1 ssh
157.132.98.30 mcm-mrsfhut31-s1 ssh
157.132.98.44 mcm-mrsfhut26-s1 ssh
